ava_name,ava_code,statuscode,ModifiedOn
POP,POP,1,2022-06-17 02:10:15.000
SCEU,Supply Chain Employees Union,100000000,2023-12-06 02:58:47.000
ESSU,Enterprise Singapore Staff Union,100000000,2023-12-06 02:58:16.000
TTAB2,TECH TALENT ASSEMBLY,100000000,2022-12-08 03:21:28.000
UTAL,Union of Tripartite Alliance Limited,100000000,2023-12-06 02:58:54.000
BFSU,Banking and Financial Services Union,100000000,2023-12-06 02:58:10.000
SFA,Singapore FinTech Association,100000000,2023-12-06 02:59:01.000
NICA,National Instructors and Coaches Association,2,2023-12-06 02:58:57.000
HLGBTRUE,TC_UC3,1,2022-07-01 03:22:37.000
STESU,ST ENGINEERING STAFF UNION,100000000,2023-12-06 02:58:46.000
VICPA,"Visual, Audio, Creative Content Professionals Association (Singapore)",100000000,2023-12-06 02:59:02.000
NDCA,National Delivery Champions Association,100000000,2023-12-06 02:58:56.000
DPTC,DXc Test 1,100000000,2023-06-28 00:00:00.000
HQGB,HQGB,100000000,2022-06-17 02:09:52.000
testwindows11,testwindows11,1,2022-09-14 03:50:10.000
STSU,Scoot-Tigerair Staff Union,100000000,2023-12-06 02:58:28.000
STEUS,ST ENGINEERING STAFF UNION,100000000,2022-12-14 04:52:07.000
USE,Union of Security Employees,100000000,2023-12-06 02:58:52.000
AABBB,TEST,100000002,2023-04-25 03:28:41.000
AACLUSTER,AA CLUSTER,100000000,2023-05-29 00:36:32.000
SIEU,Singapore Insurance Employees Union,1,2023-12-06 02:58:35.000
SSEU-SHELL,Singapore Shell Employees'Union,1,2023-12-06 02:58:41.000
EMECLUSTER,EME CLUSTER,100000000,2024-02-22 02:30:14.000
HCBCLUSTER,HCB CLUSTER,100000000,2024-02-22 03:18:55.000
JANAAA,JANAAA,100000000,2024-02-26 03:11:54.000
JANBBBB,JANBBBB,100000001,2024-02-26 03:21:44.000
AESU,Air-Transport Executive Staff Union,100000000,2023-12-06 02:58:06.000
AREU,"Attractions, Resorts and Entertainment Union",100000000,2023-12-06 02:58:09.000
AUPE,Amalgamated Union of Public Employees,100000000,2023-12-06 02:58:07.000
